GeneA	GeneB	Zscore	Pvalue
CAV1	GJA1	0.445690173145526	0.0804093567251462
CAV1	GAS1	1.00159498050675	0.0043859649122807
GJA1	GAS1	1.10604441378625	0.00292397660818713
CAV1	FILIP1L	0.0360353370529898	0.891812865497076
GJA1	FILIP1L	0.274970636431974	0.264619883040936
GAS1	FILIP1L	0.484535052373981	0.0628654970760234
CAV1	PCP4	0.387913889015828	0.114035087719298
GJA1	PCP4	0.238457317583806	0.33187134502924
GAS1	PCP4	0.92304376863516	0.010233918128655
FILIP1L	PCP4	0.24794744985912	0.312865497076023
CAV1	ACTG2	0.348163238739534	0.156432748538012
GJA1	ACTG2	0.444786979533904	0.0804093567251462
GAS1	ACTG2	0.877461885118623	0.0116959064327485
FILIP1L	ACTG2	-0.0947342513092492	0.698830409356725
PCP4	ACTG2	0.574861661494146	0.0380116959064327
CAV1	GSTP1	0.755112763158829	0.0175438596491228
GJA1	GSTP1	0.496544014476988	0.0555555555555556
GAS1	GSTP1	0.45055845707941	0.0774853801169591
FILIP1L	GSTP1	0.670745435733322	0.0248538011695906
PCP4	GSTP1	0.82316964976024	0.0146198830409357
ACTG2	GSTP1	0.671599506996417	0.0248538011695906
CAV1	EDNRA	0.141269881846172	0.549707602339181
GJA1	EDNRA	-0.00793618999696418	0.966374269005848
GAS1	EDNRA	0.908019147963965	0.010233918128655
FILIP1L	EDNRA	0.0152987236999977	0.945906432748538
PCP4	EDNRA	0.224256498052298	0.355263157894737
ACTG2	EDNRA	0.294103065443562	0.226608187134503
GSTP1	EDNRA	0.448887228260398	0.0774853801169591
CAV1	MYLK	0.382274752772156	0.118421052631579
GJA1	MYLK	0.108098085209454	0.650584795321637
GAS1	MYLK	1.16214595763178	0.00292397660818713
FILIP1L	MYLK	0.166128830083597	0.491228070175439
PCP4	MYLK	0.406333699789673	0.10233918128655
ACTG2	MYLK	0.310772169875191	0.20906432748538
GSTP1	MYLK	0.854746304055682	0.0131578947368421
EDNRA	MYLK	0.131380375489347	0.587719298245614
CAV1	ID3	0.543933673172617	0.043859649122807
GJA1	ID3	0.486208652062949	0.0614035087719298
GAS1	ID3	0.210732527139131	0.387426900584795
FILIP1L	ID3	0.469379451563392	0.0687134502923977
PCP4	ID3	0.712068156980738	0.0219298245614035
ACTG2	ID3	0.619371415250541	0.033625730994152
GSTP1	ID3	0.561476694492195	0.0423976608187134
EDNRA	ID3	0.330373990573831	0.182748538011696
MYLK	ID3	0.796318036772737	0.0146198830409357
CAV1	TPM2	0.399675597208219	0.108187134502924
GJA1	TPM2	0.227709926991111	0.342105263157895
GAS1	TPM2	1.07882628361791	0.00292397660818713
FILIP1L	TPM2	0.0518395054585916	0.828947368421053
PCP4	TPM2	0.531046902061787	0.043859649122807
ACTG2	TPM2	0.158165175368923	0.510233918128655
GSTP1	TPM2	0.643709718630555	0.0307017543859649
EDNRA	TPM2	0.148043522671248	0.536549707602339
MYLK	TPM2	0.284534365866725	0.25
ID3	TPM2	0.699155342128981	0.0233918128654971
CAV1	FHL1	-0.0318138655135191	0.906432748538012
GJA1	FHL1	0.16181857429362	0.497076023391813
GAS1	FHL1	0.792594059736749	0.0146198830409357
FILIP1L	FHL1	0.0390366578802387	0.878654970760234
PCP4	FHL1	0.290353720745558	0.242690058479532
ACTG2	FHL1	0.155449796126604	0.516081871345029
GSTP1	FHL1	0.510798067894395	0.0511695906432749
EDNRA	FHL1	0.117071287842974	0.630116959064328
MYLK	FHL1	0.0571923049082803	0.809941520467836
ID3	FHL1	0.56589306482096	0.0380116959064327
TPM2	FHL1	-0.126148308681523	0.597953216374269
CAV1	FERMT2	0.128686866125682	0.590643274853801
GJA1	FERMT2	0.208905723441119	0.39327485380117
GAS1	FERMT2	1.12308235652472	0.00292397660818713
FILIP1L	FERMT2	-0.0975962933832992	0.692982456140351
PCP4	FERMT2	0.237656155782876	0.33187134502924
ACTG2	FERMT2	0.207579833017781	0.396198830409357
GSTP1	FERMT2	0.765922265457954	0.0160818713450292
EDNRA	FERMT2	0.246396398265092	0.317251461988304
MYLK	FERMT2	0.0312727669858457	0.907894736842105
ID3	FERMT2	0.543670974771684	0.043859649122807
TPM2	FERMT2	-0.0998042831916297	0.681286549707602
FHL1	FERMT2	0.0543039762057316	0.820175438596491
CAV1	MYH11	0.323626752575867	0.190058479532164
GJA1	MYH11	0.296517811147153	0.226608187134503
GAS1	MYH11	0.665209405931518	0.0277777777777778
FILIP1L	MYH11	0.021498119674989	0.925438596491228
PCP4	MYH11	0.460360607681304	0.0730994152046784
ACTG2	MYH11	0.102252172512698	0.672514619883041
GSTP1	MYH11	0.552078926008369	0.043859649122807
EDNRA	MYH11	0.139038636886344	0.56140350877193
MYLK	MYH11	0.393625594029587	0.111111111111111
ID3	MYH11	0.501236117211381	0.054093567251462
TPM2	MYH11	0.220061055795613	0.368421052631579
FHL1	MYH11	-0.0270146001619662	0.915204678362573
FERMT2	MYH11	0.0538753065453844	0.821637426900585
CAV1	FLNA	0.474158452064959	0.0687134502923977
GJA1	FLNA	0.398339103712728	0.108187134502924
GAS1	FLNA	0.654320500764222	0.0292397660818713
FILIP1L	FLNA	0.0281311124425346	0.915204678362573
PCP4	FLNA	0.547261547474663	0.043859649122807
ACTG2	FLNA	0.337933025551678	0.169590643274854
GSTP1	FLNA	0.726570538581914	0.0204678362573099
EDNRA	FLNA	0.233916703529682	0.33625730994152
MYLK	FLNA	0.335573441973267	0.173976608187135
ID3	FLNA	0.564655721552914	0.0394736842105263
TPM2	FLNA	0.291241110445347	0.239766081871345
FHL1	FLNA	0.216677572243534	0.374269005847953
FERMT2	FLNA	0.239932112941929	0.328947368421053
MYH11	FLNA	0.356140527036578	0.141812865497076
CAV1	KCNMB1	-0.0877324638863963	0.719298245614035
GJA1	KCNMB1	0.121675253232621	0.615497076023392
GAS1	KCNMB1	0.753889377274738	0.0175438596491228
FILIP1L	KCNMB1	-0.031872277971347	0.906432748538012
PCP4	KCNMB1	0.160132207316538	0.505847953216374
ACTG2	KCNMB1	0.168215344379674	0.486842105263158
GSTP1	KCNMB1	0.27326947579898	0.269005847953216
EDNRA	KCNMB1	-0.12213706496673	0.614035087719298
MYLK	KCNMB1	0.168016537773747	0.486842105263158
ID3	KCNMB1	0.260840590424269	0.292397660818713
TPM2	KCNMB1	0.0522579070119404	0.827485380116959
FHL1	KCNMB1	-0.137296164259969	0.564327485380117
FERMT2	KCNMB1	0.0628389807202041	0.79093567251462
MYH11	KCNMB1	0.0992690768239808	0.687134502923977
FLNA	KCNMB1	-0.0714216863114551	0.77046783625731
CAV1	CNN1	0.165404487475866	0.492690058479532
GJA1	CNN1	0.344707873745223	0.157894736842105
GAS1	CNN1	0.855293157761548	0.0131578947368421
FILIP1L	CNN1	-0.215914895346717	0.37719298245614
PCP4	CNN1	0.341650381551282	0.16374269005848
ACTG2	CNN1	0.145936404202375	0.539473684210526
